,Unnamed: 0,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME
0,2,30000012,HOME_OWN,10.0,2.0,Never,5,4,4,2.0,1.0,2.0,3.0,5.0,2,9,1.0,0.0,1.0,1,2,1,3,23,Daily,1.0,1,1,0,1,1,40 - 50,5,1,5-10 miles,20 - 30
1,8,30000082,HOME_RENT,8.0,,Never,5,5,5,3.0,3.0,5.0,5.0,5.0,1,12,0.5,0.5,0.5,4,2,1,3,23,Daily,0.5,>0.5,>0.5,>0.5,>2,1,30 - 40,5,0.5,>15 miles,20 - 30
2,15,30000130,HOME_OWN,5.0,,,-9,1,1,1.0,1.0,1.0,,1.0,1,4,1.0,0.0,1.0,2,1,1,5,21,Daily,1.0,1,1,0,2,1,40 - 50,5,1,>15 miles,>30
3,39,30000380,HOME_RENT,3.0,,,4,4,-9,1.0,,,,,1,18,0.6666666666666666,0.0,0.3333333333333333,6,2,1,1,23,Daily,0.6666666666666666,<0.5,>0.5,0,>2,1,30 - 40,3,<0.5,<=5 miles,<=10
4,44,30000434,HOME_OWN,8.0,1.0,Rarely,5,5,4,,2.0,2.0,3.0,3.0,1,6,1.0,0.0,1.0,2,2,4,6,23,Daily,1.0,1,1,0,2,1,>60,5,0.5,>15 miles,20 - 30
5,45,30000436,HOME_OWN,9.0,5.0,Never,4,5,5,3.0,3.0,5.0,5.0,5.0,1,3,1.0,0.0,0.5,10,2,1,1,23,Daily,0.5,>0.5,1,0,2,1,>60,4,0.5,<=5 miles,<=10
6,46,30000439,HOME_OWN,8.0,1.0,Daily,5,5,4,1.0,1.0,2.0,2.0,3.0,1,6,1.0,0.0,0.5,8,1,4,6,21,Daily,1.0,>0.5,1,0,>2,1,30 - 40,5,<0.5,10 - 15 miles,20 - 30
7,54,30000473,HOME_RENT,3.0,5.0,Never,5,5,5,1.0,3.0,5.0,5.0,5.0,2,8,1.0,0.0,1.0,9,2,1,1,23,Daily,1.0,1,1,0,1,1,>60,3,0,<=5 miles,<=10
8,58,30000496,HOME_OWN,8.0,4.0,Never,5,5,5,4.0,4.0,4.0,4.0,4.0,1,6,1.0,0.0,0.5,10,1,1,5,21,Rarely,0.5,>0.5,1,0,2,1,>60,5,0.5,Not Sure,non-work
9,59,30000503,HOME_OWN,9.0,4.0,Rarely,5,5,5,3.0,4.0,4.0,4.0,4.0,1,4,1.0,0.0,0.5,10,1,1,2,21,Daily,1.0,>0.5,1,0,2,1,50 - 60,3,0.5,>15 miles,20 - 30
10,75,30000722,HOME_OWN,3.0,,Never,5,5,5,3.0,1.0,5.0,5.0,5.0,2,1,1.0,0.0,1.0,1,2,4,6,23,Rarely,1.0,1,1,0,1,1,>60,3,0,<=5 miles,>30
11,83,30000817,HOME_RENT,4.0,3.0,Rarely,3,4,3,5.0,4.0,4.0,4.0,1.0,2,6,1.0,0.0,1.0,1,1,4,6,21,Daily,1.0,1,1,0,1,1,<=30,4,1,Not Sure,non-work
12,85,30000835,HOME_OWN,6.0,4.0,Never,5,5,5,4.0,4.0,5.0,5.0,5.0,1,5,1.0,0.0,0.5,2,2,1,2,23,Daily,1.0,>0.5,1,0,2,1,50 - 60,5,0.5,5-10 miles,10 - 20
13,90,30000854,HOME_OWN,9.0,4.0,Never,5,5,4,3.0,3.0,5.0,5.0,5.0,1,13,1.0,0.0,0.5,10,1,1,5,21,Rarely,1.0,>0.5,1,0,2,1,50 - 60,3,0.5,5-10 miles,<=10
14,102,30000990,HOME_OWN,11.0,1.0,Rarely,4,1,4,3.0,3.0,2.0,3.0,1.0,1,4,0.5,0.0,0.25,6,1,1,5,21,Daily,0.5,<0.5,>0.5,0,>2,1,<=30,5,<0.5,>15 miles,>30
15,108,30001011,HOME_OWN,,2.0,Never,4,3,5,3.0,2.0,4.0,5.0,4.0,1,6,1.0,0.0,0.0,10,1,1,5,21,Rarely,0.5,0,1,0,2,1,>60,3,non-work,Not Sure,non-work
16,112,30001039,HOME_OWN,4.0,,,-9,-9,-9,3.0,2.0,3.0,5.0,3.0,2,3,1.0,0.0,0.0,9,1,1,5,21,Daily,1.0,0,1,0,1,1,50 - 60,5,non-work,Not Sure,non-work
17,113,30001053,HOME_RENT,2.0,1.0,Never,4,1,5,2.0,2.0,1.0,4.0,1.0,1,13,0.3333333333333333,0.3333333333333333,0.0,3,2,1,1,23,Daily,0.0,0,<0.5,<0.5,>2,0,<=30,3,non-work,Not Sure,non-work
18,117,30001066,HOME_OWN,10.0,3.0,Rarely,5,5,5,5.0,3.0,4.0,4.0,5.0,1,13,0.5,0.0,0.5,6,2,1,3,22,Daily,0.5,>0.5,>0.5,0,>2,1,<=30,4,0.5,>15 miles,20 - 30
19,133,30001215,HOME_OWN,7.0,2.0,Rarely,5,5,5,2.0,2.0,1.0,1.0,3.0,1,10,1.0,0.0,1.0,2,2,1,1,23,Rarely,1.0,1,1,0,2,1,50 - 60,4,1,<=5 miles,10 - 20
20,148,30001349,HOME_OWN,6.0,2.0,Daily,5,5,5,1.0,2.0,2.0,2.0,3.0,1,28,0.6666666666666666,0.0,0.3333333333333333,5,2,1,1,23,Daily,0.6666666666666666,<0.5,>0.5,0,>2,1,<=30,5,non-work,Not Sure,non-work
21,151,30001381,HOME_OWN,7.0,5.0,Never,5,5,5,4.0,3.0,5.0,5.0,5.0,1,6,1.0,0.0,0.0,10,1,1,2,21,Daily,1.0,0,1,0,2,1,>60,5,non-work,Not Sure,non-work
22,154,30001396,HOME_RENT,6.0,1.0,Rarely,2,2,2,4.0,2.0,2.0,2.0,2.0,1,6,1.0,0.0,1.0,2,1,1,5,21,Daily,1.0,1,1,0,2,1,<=30,5,1,>15 miles,>30
23,155,30001400,HOME_OWN,8.0,3.0,Never,5,5,5,3.0,3.0,4.0,4.0,4.0,1,3,1.0,0.0,0.5,10,2,4,6,23,Daily,1.0,>0.5,1,0,2,1,>60,3,0,<=5 miles,<=10
24,159,30001426,HOME_OWN,7.0,5.0,Never,5,5,5,4.0,3.0,4.0,4.0,4.0,1,12,1.0,0.0,1.0,2,2,2,6,24,Daily,1.0,1,1,0,2,1,50 - 60,4,0.5,<=5 miles,<=10
25,166,30001456,HOME_OWN,5.0,3.0,Rarely,5,5,5,4.0,4.0,2.0,2.0,3.0,2,5,1.0,0.0,0.0,9,2,1,1,23,Daily,1.0,0,1,0,1,1,>60,5,non-work,Not Sure,non-work
26,169,30001475,HOME_OWN,6.0,4.0,Never,4,5,4,5.0,3.0,5.0,5.0,5.0,2,4,1.0,0.0,0.0,9,1,1,5,21,Daily,1.0,0,1,0,1,1,>60,4,non-work,Not Sure,non-work
27,171,30001485,HOME_RENT,3.0,,,-9,-9,-9,2.0,2.0,3.0,3.0,3.0,2,4,1.0,0.0,0.0,9,1,1,2,21,Never,1.0,0,1,0,1,1,>60,2,non-work,Not Sure,non-work
28,172,30001487,HOME_OWN,5.0,2.0,Rarely,5,5,5,2.0,1.0,2.0,3.0,5.0,2,2,1.0,0.0,0.0,9,2,2,6,24,Daily,1.0,0,1,0,1,1,>60,3,non-work,Not Sure,non-work
29,175,30001511,HOME_OWN,5.0,4.0,Never,5,5,5,1.0,3.0,4.0,4.0,4.0,1,2,1.0,0.0,1.0,2,2,1,3,22,Daily,1.0,1,1,0,2,1,50 - 60,2,0.5,<=5 miles,<=10
30,192,30001625,HOME_RENT,1.0,2.0,Rarely,5,2,2,3.0,2.0,2.0,3.0,2.0,2,2,1.0,0.0,0.0,1,1,1,5,21,Rarely,0.0,0,1,0,1,0,50 - 60,1,non-work,Not Sure,non-work
31,223,30001906,HOME_OWN,,4.0,Never,5,5,5,2.0,3.0,2.0,3.0,5.0,1,4,1.0,0.0,1.0,2,1,1,2,21,Daily,1.0,1,1,0,2,1,40 - 50,5,1,>15 miles,>30
32,224,30001915,HOME_OWN,4.0,5.0,Never,5,5,5,1.0,2.0,5.0,5.0,5.0,1,0,1.0,0.0,0.0,10,2,4,6,22,Daily,1.0,0,1,0,2,1,50 - 60,2,non-work,Not Sure,non-work
33,239,30002022,HOME_OWN,1.0,1.0,Never,5,5,4,1.0,1.0,2.0,5.0,5.0,2,0,1.0,0.0,0.0,9,2,1,1,23,Daily,1.0,0,1,0,1,1,>60,3,non-work,Not Sure,non-work
34,263,30002274,HOME_OWN,4.0,1.0,Never,5,5,5,1.0,3.0,4.0,5.0,3.0,2,3,1.0,0.0,0.0,9,1,4,6,21,Daily,1.0,0,1,0,1,1,>60,4,non-work,Not Sure,non-work
35,321,30002835,HOME_OWN,11.0,3.0,Rarely,5,5,5,2.0,3.0,4.0,4.0,4.0,1,16,1.0,0.0,1.0,2,1,1,5,21,Daily,1.0,1,1,0,2,1,50 - 60,4,1,>15 miles,10 - 20
36,327,30002883,HOME_OWN,8.0,1.0,Rarely,5,4,4,4.0,4.0,4.0,5.0,4.0,1,11,1.0,0.0,1.0,10,2,1,1,23,Daily,1.0,1,1,0,>2,1,50 - 60,5,>0.5,<=5 miles,10 - 20
37,338,30002989,HOME_OWN,8.0,5.0,Never,5,5,5,2.0,2.0,5.0,5.0,5.0,1,2,1.0,0.0,0.5,10,2,4,6,24,Daily,1.0,>0.5,1,0,2,1,>60,4,0,<=5 miles,<=10
38,354,30003127,HOME_OWN,9.0,5.0,Never,4,-9,-9,5.0,4.0,4.0,4.0,4.0,2,7,1.0,0.0,0.0,9,1,1,5,21,Daily,1.0,0,1,0,1,1,>60,5,non-work,Not Sure,non-work
39,360,30003158,HOME_OWN,6.0,5.0,Never,5,5,5,1.0,1.0,5.0,5.0,5.0,1,0,1.0,0.0,1.0,2,2,4,6,23,Daily,1.0,1,1,0,2,1,40 - 50,2,1,10 - 15 miles,10 - 20
40,361,30003171,HOME_OWN,,1.0,Rarely,5,5,5,4.0,2.0,2.0,2.0,3.0,1,4,1.0,0.0,1.0,2,2,2,6,24,Daily,1.0,1,1,0,2,1,50 - 60,5,1,<=5 miles,<=10
