,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
0,30000012,HOME_OWN,10,2,Never,5,4,4,2,1,2,3,5,2,9,1,0,1,1,2,1,3,23,Daily,1,1,1,0,1,1,45,40 - 50,5,1,5-10 miles,20 - 30,2,9,>5,1,1
1,30000082,HOME_RENT,8,,Never,5,5,5,3,3,5,5,5,1,12,0.5,0.5,0.5,4,2,1,3,23,Daily,0.5,>0.5,>0.5,>0.5,>2,1,38.5,30 - 40,5,0.5,>15 miles,20 - 30,2,6,>5,0.5,<0.5
2,30000130,HOME_OWN,5,,,-9,1,1,1,1,1,,1,1,4,1,0,1,2,1,1,5,21,Daily,1,1,1,0,2,1,45,40 - 50,5,1,>15 miles,>30,3,2,<=2,1,0.5
3,30000380,HOME_RENT,3,,,4,4,-9,1,,,,,1,18,0.666666667,0,0.333333333,6,2,1,1,23,Daily,0.666666667,<0.5,>0.5,0,>2,1,37.33333333,30 - 40,3,<0.5,<=5 miles,<=10,4,6,>5,<0.5,<0.5
4,30000434,HOME_OWN,8,1,Rarely,5,5,4,,2,2,3,3,1,6,1,0,1,2,2,4,6,23,Daily,1,1,1,0,2,1,67.5,>60,5,0.5,>15 miles,20 - 30,2,3,2-Mar,1,0.5
5,30000436,HOME_OWN,9,5,Never,4,5,5,3,3,5,5,5,1,3,1,0,0.5,10,2,1,1,23,Daily,0.5,>0.5,1,0,2,1,75.5,>60,4,0.5,<=5 miles,<=10,4,1.5,<=2,0.5,0
6,30000439,HOME_OWN,8,1,Daily,5,5,4,1,1,2,2,3,1,6,1,0,0.5,8,1,4,6,21,Daily,1,>0.5,1,0,>2,1,37.75,30 - 40,5,<0.5,10 - 15 miles,20 - 30,4,1.5,<=2,0.5,<0.5
7,30000473,HOME_RENT,3,5,Never,5,5,5,1,3,5,5,5,2,8,1,0,1,9,2,1,1,23,Daily,1,1,1,0,1,1,66,>60,3,0,<=5 miles,<=10,4,8,>5,1,0
8,30000496,HOME_OWN,8,4,Never,5,5,5,4,4,4,4,4,1,6,1,0,0.5,10,1,1,5,21,Rarely,0.5,>0.5,1,0,2,1,75,>60,5,0.5,Not Sure,non-work,4,3,2-Mar,0.5,0
9,30000503,HOME_OWN,9,4,Rarely,5,5,5,3,4,4,4,4,1,4,1,0,0.5,10,1,1,2,21,Daily,1,>0.5,1,0,2,1,59,50 - 60,3,0.5,>15 miles,20 - 30,2,2,<=2,0.5,0.5
10,30000722,HOME_OWN,3,,Never,5,5,5,3,1,5,5,5,2,1,1,0,1,1,2,4,6,23,Rarely,1,1,1,0,1,1,62,>60,3,0,<=5 miles,>30,2,1,<=2,1,0
11,30000817,HOME_RENT,4,3,Rarely,3,4,3,5,4,4,4,1,2,6,1,0,1,1,1,4,6,21,Daily,1,1,1,0,1,1,24,<=30,4,1,Not Sure,non-work,2,6,>5,1,0
12,30000835,HOME_OWN,6,4,Never,5,5,5,4,4,5,5,5,1,5,1,0,0.5,2,2,1,2,23,Daily,1,>0.5,1,0,2,1,58.5,50 - 60,5,0.5,5-10 miles,Oct-20,4,2.5,2-Mar,0.5,0
13,30000854,HOME_OWN,9,4,Never,5,5,4,3,3,5,5,5,1,13,1,0,0.5,10,1,1,5,21,Rarely,1,>0.5,1,0,2,1,59,50 - 60,3,0.5,5-10 miles,<=10,3,6.5,>5,0.5,0.5
14,30000990,HOME_OWN,11,1,Rarely,4,1,4,3,3,2,3,1,1,4,0.5,0,0.25,6,1,1,5,21,Daily,0.5,<0.5,>0.5,0,>2,1,29.75,<=30,5,<0.5,>15 miles,>30,2,1,<=2,<0.5,0
15,30001011,HOME_OWN,,2,Never,4,3,5,3,2,4,5,4,1,6,1,0,0,10,1,1,5,21,Rarely,0.5,0,1,0,2,1,81.5,>60,3,non-work,Not Sure,non-work,3,3,2-Mar,non-work,non-work
16,30001039,HOME_OWN,4,,,-9,-9,-9,3,2,3,5,3,2,3,1,0,0,9,1,1,5,21,Daily,1,0,1,0,1,1,59,50 - 60,5,non-work,Not Sure,non-work,2,3,2-Mar,non-work,non-work
17,30001053,HOME_RENT,2,1,Never,4,1,5,2,2,1,4,1,1,13,0.333333333,0.333333333,0,3,2,1,1,23,Daily,0,0,<0.5,<0.5,>2,0,24.5,<=30,3,non-work,Not Sure,non-work,3,6.5,>5,non-work,non-work
18,30001066,HOME_OWN,10,3,Rarely,5,5,5,5,3,4,4,5,1,13,0.5,0,0.5,6,2,1,3,22,Daily,0.5,>0.5,>0.5,0,>2,1,28.25,<=30,4,0.5,>15 miles,20 - 30,2,3.25,3-Apr,0.5,0
19,30001215,HOME_OWN,7,2,Rarely,5,5,5,2,2,1,1,3,1,10,1,0,1,2,2,1,1,23,Rarely,1,1,1,0,2,1,53,50 - 60,4,1,<=5 miles,Oct-20,2,5,4-May,1,0.5
20,30001349,HOME_OWN,6,2,Daily,5,5,5,1,2,2,2,3,1,28,0.666666667,0,0.333333333,5,2,1,1,23,Daily,0.666666667,<0.5,>0.5,0,>2,1,28.66666667,<=30,5,non-work,Not Sure,non-work,1,9.333333333,>5,non-work,non-work
21,30001381,HOME_OWN,7,5,Never,5,5,5,4,3,5,5,5,1,6,1,0,0,10,1,1,2,21,Daily,1,0,1,0,2,1,68.5,>60,5,non-work,Not Sure,non-work,1,3,2-Mar,non-work,non-work
22,30001396,HOME_RENT,6,1,Rarely,2,2,2,4,2,2,2,2,1,6,1,0,1,2,1,1,5,21,Daily,1,1,1,0,2,1,29,<=30,5,1,>15 miles,>30,3,3,2-Mar,0.5,0.5
23,30001400,HOME_OWN,8,3,Never,5,5,5,3,3,4,4,4,1,3,1,0,0.5,10,2,4,6,23,Daily,1,>0.5,1,0,2,1,65.5,>60,3,0,<=5 miles,<=10,2,1.5,<=2,0.5,0
24,30001426,HOME_OWN,7,5,Never,5,5,5,4,3,4,4,4,1,12,1,0,1,2,2,2,6,24,Daily,1,1,1,0,2,1,58.5,50 - 60,4,0.5,<=5 miles,<=10,3,6,>5,1,0
25,30001456,HOME_OWN,5,3,Rarely,5,5,5,4,4,2,2,3,2,5,1,0,0,9,2,1,1,23,Daily,1,0,1,0,1,1,67,>60,5,non-work,Not Sure,non-work,1,5,4-May,non-work,non-work
26,30001475,HOME_OWN,6,4,Never,4,5,4,5,3,5,5,5,2,4,1,0,0,9,1,1,5,21,Daily,1,0,1,0,1,1,78,>60,4,non-work,Not Sure,non-work,4,4,3-Apr,non-work,non-work
