,HOUSEID,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
0,30000012,2,9.0,>5,1,1
1,30000082,2,6.0,>5,0.5,<0.5
2,30000130,3,2.0,<=2,1,0.5
3,30000380,4,6.0,>5,<0.5,<0.5
4,30000434,2,3.0,2 - 3,1,0.5
5,30000436,4,1.5,<=2,0.5,0
6,30000439,4,1.5,<=2,0.5,<0.5
7,30000473,4,8.0,>5,1,0
8,30000496,4,3.0,2 - 3,0.5,0
9,30000503,2,2.0,<=2,0.5,0.5
10,30000722,2,1.0,<=2,1,0
11,30000817,2,6.0,>5,1,0
12,30000835,4,2.5,2 - 3,0.5,0
13,30000854,3,6.5,>5,0.5,0.5
14,30000990,2,1.0,<=2,<0.5,0
15,30001011,3,3.0,2 - 3,non-work,non-work
16,30001039,2,3.0,2 - 3,non-work,non-work
17,30001053,3,6.5,>5,non-work,non-work
18,30001066,2,3.25,3 - 4,0.5,0
19,30001215,2,5.0,4 - 5,1,0.5
20,30001349,1,9.333333333333334,>5,non-work,non-work
21,30001381,1,3.0,2 - 3,non-work,non-work
22,30001396,3,3.0,2 - 3,0.5,0.5
23,30001400,2,1.5,<=2,0.5,0
24,30001426,3,6.0,>5,1,0
25,30001456,1,5.0,4 - 5,non-work,non-work
26,30001475,4,4.0,3 - 4,non-work,non-work
27,30001485,3,4.0,3 - 4,non-work,non-work
28,30001487,2,2.0,<=2,non-work,non-work
29,30001511,4,1.0,<=2,0.5,0.5
30,30001625,2,2.0,<=2,non-work,non-work
31,30001906,3,2.0,<=2,1,0.5
32,30001915,4,0.0,<=2,non-work,non-work
33,30002022,3,0.0,<=2,non-work,non-work
34,30002274,2,3.0,2 - 3,non-work,non-work
35,30002835,3,8.0,>5,1,0.5
36,30002883,2,3.6666666666666665,3 - 4,1,<0.5
37,30002989,1,1.0,<=2,0.5,0.5
38,30003127,2,7.0,>5,non-work,non-work
39,30003158,3,0.0,<=2,0.5,0.5
40,30003171,1,2.0,<=2,1,0.5
41,30003209,2,3.0,2 - 3,0.5,0.5
42,30003393,2,1.3333333333333333,<=2,>0.5,<0.5
43,30003425,5,6.0,>5,non-work,non-work
44,30003445,2,4.0,3 - 4,1,0
45,30003489,1,9.0,>5,1,1
46,30003499,3,2.0,<=2,1,0.5
47,30003594,3,2.5,2 - 3,1,0
48,30003624,2,5.5,>5,0.5,0
49,30003653,3,4.5,4 - 5,0.5,0
50,30003672,3,4.5,4 - 5,non-work,non-work
51,30003901,3,4.5,4 - 5,0.5,0
52,30003967,1,6.0,>5,non-work,non-work
53,30003993,4,4.0,3 - 4,0.5,0
54,30004056,1,2.0,<=2,1,1
55,30004079,1,12.0,>5,non-work,non-work
56,30004116,2,3.0,2 - 3,1,0.5
57,30004142,1,5.0,4 - 5,non-work,non-work
58,30004351,3,2.0,<=2,>0.5,<0.5
59,30004430,3,3.5,3 - 4,1,0.5
60,30004446,3,2.0,<=2,non-work,non-work
61,30004479,1,2.0,<=2,0.5,0.5
62,30004490,2,2.3333333333333335,2 - 3,1,<0.5
63,30004535,3,3.0,2 - 3,0,0
64,30004574,3,0.0,<=2,<0.5,0
65,30004585,2,3.0,2 - 3,0,1
66,30004634,4,3.0,2 - 3,non-work,non-work
67,30004800,2,9.0,>5,0.5,0
68,30004801,3,5.0,4 - 5,1,1
69,30004939,3,0.0,<=2,<0.5,0
70,30005002,2,6.0,>5,non-work,non-work
71,30005067,2,3.0,2 - 3,non-work,non-work
72,30005093,2,6.5,>5,0.5,0.5
73,30005158,2,4.0,3 - 4,1,1
74,30005199,2,6.666666666666667,>5,<0.5,<0.5
75,30005202,2,5.0,4 - 5,1,1
76,30005268,3,3.0,2 - 3,non-work,non-work
77,30005283,2,3.0,2 - 3,non-work,non-work
78,30005315,1,7.0,>5,non-work,non-work
79,30005372,1,5.5,>5,0,0
80,30005383,2,3.0,2 - 3,non-work,non-work
81,30005445,3,5.0,4 - 5,non-work,non-work
82,30005565,3,0.0,<=2,1,1
83,30005713,3,3.0,2 - 3,non-work,non-work
84,30005945,3,6.0,>5,1,1
85,30005964,4,2.0,<=2,non-work,non-work
86,30005995,3,4.0,3 - 4,0.5,0
87,30006078,3,9.5,>5,non-work,non-work
88,30006185,3,0.0,<=2,non-work,non-work
89,30006198,1,3.0,2 - 3,<0.5,<0.5
90,30006273,1,1.0,<=2,0.5,<0.5
91,30006274,3,3.0,2 - 3,non-work,non-work
92,30006388,4,4.666666666666667,4 - 5,non-work,non-work
93,30006397,3,3.5,3 - 4,0.5,0
94,30006683,4,6.0,>5,non-work,non-work
95,30006697,2,4.0,3 - 4,non-work,non-work
96,30006777,3,3.0,2 - 3,1,0
97,30006851,4,7.0,>5,0.5,0.5
98,30006890,3,4.0,3 - 4,1,1
99,30006957,1,0.0,<=2,1,0
100,30007091,2,4.0,3 - 4,non-work,non-work
101,30007173,3,0.0,<=2,non-work,non-work
