,HOUSEID,TRAVDAY,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,SMPLSRCE,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN
2,30000012,5,HOME_OWN,10,2,Never,5,4,4,2,1,2,3,5,2,1,9,1.0,0.0,1.0,1,2,1,3,23,Daily,2,1.0,1,1,0,1,1
8,30000082,3,HOME_RENT,8,NA,Never,5,5,5,3,3,5,5,5,1,2,12,0.5,0.5,0.5,4,2,1,3,23,Daily,2,0.5,>0.5,>0.5,>0.5,>2,1
15,30000130,1,HOME_OWN,5,NA,NA,-9,1,1,1,1,1,NA,1,1,2,4,1.0,0.0,1.0,2,1,1,5,21,Daily,1,1.0,1,1,0,2,1
39,30000380,2,HOME_RENT,3,NA,NA,4,4,-9,1,NA,NA,NA,NA,1,2,18,0.6666666666666666,0.0,0.3333333333333333,6,2,1,1,23,Daily,2,0.6666666666666666,<0.5,>0.5,0,>2,1
44,30000434,7,HOME_OWN,8,1,Rarely,5,5,4,NA,2,2,3,3,1,2,6,1.0,0.0,1.0,2,2,4,6,23,Daily,2,1.0,1,1,0,2,1
45,30000436,5,HOME_OWN,9,5,Never,4,5,5,3,3,5,5,5,1,1,3,1.0,0.0,0.5,10,2,1,1,23,Daily,2,0.5,>0.5,1,0,2,1
46,30000439,7,HOME_OWN,8,1,Daily,5,5,4,1,1,2,2,3,1,>2,6,1.0,0.0,0.5,8,1,4,6,21,Daily,2,1.0,>0.5,1,0,>2,1
54,30000473,7,HOME_RENT,3,5,Never,5,5,5,1,3,5,5,5,2,1,8,1.0,0.0,1.0,9,2,1,1,23,Daily,2,1.0,1,1,0,1,1
58,30000496,7,HOME_OWN,8,4,Never,5,5,5,4,4,4,4,4,1,1,6,1.0,0.0,0.5,10,1,1,5,21,Rarely,2,0.5,>0.5,1,0,2,1
59,30000503,3,HOME_OWN,9,4,Rarely,5,5,5,3,4,4,4,4,1,2,4,1.0,0.0,0.5,10,1,1,2,21,Daily,2,1.0,>0.5,1,0,2,1
75,30000722,3,HOME_OWN,3,NA,Never,5,5,5,3,1,5,5,5,2,1,1,1.0,0.0,1.0,1,2,4,6,23,Rarely,2,1.0,1,1,0,1,1
83,30000817,5,HOME_RENT,4,3,Rarely,3,4,3,5,4,4,4,1,2,1,6,1.0,0.0,1.0,1,1,4,6,21,Daily,2,1.0,1,1,0,1,1
85,30000835,4,HOME_OWN,6,4,Never,5,5,5,4,4,5,5,5,1,2,5,1.0,0.0,0.5,2,2,1,2,23,Daily,2,1.0,>0.5,1,0,2,1
90,30000854,3,HOME_OWN,9,4,Never,5,5,4,3,3,5,5,5,1,2,13,1.0,0.0,0.5,10,1,1,5,21,Rarely,2,1.0,>0.5,1,0,2,1
102,30000990,1,HOME_OWN,11,1,Rarely,4,1,4,3,3,2,3,1,1,2,4,0.5,0.0,0.25,6,1,1,5,21,Daily,2,0.5,<0.5,>0.5,0,>2,1
108,30001011,3,HOME_OWN,NA,2,Never,4,3,5,3,2,4,5,4,1,1,6,1.0,0.0,0.0,10,1,1,5,21,Rarely,2,0.5,0,1,0,2,1
112,30001039,1,HOME_OWN,4,NA,NA,-9,-9,-9,3,2,3,5,3,2,1,3,1.0,0.0,0.0,9,1,1,5,21,Daily,2,1.0,0,1,0,1,1
113,30001053,5,HOME_RENT,2,1,Never,4,1,5,2,2,1,4,1,1,0,13,0.3333333333333333,0.3333333333333333,0.0,3,2,1,1,23,Daily,2,0.0,0,<0.5,<0.5,>2,0
117,30001066,1,HOME_OWN,10,3,Rarely,5,5,5,5,3,4,4,5,1,2,13,0.5,0.0,0.5,6,2,1,3,22,Daily,2,0.5,>0.5,>0.5,0,>2,1
133,30001215,1,HOME_OWN,7,2,Rarely,5,5,5,2,2,1,1,3,1,2,10,1.0,0.0,1.0,2,2,1,1,23,Rarely,2,1.0,1,1,0,2,1
148,30001349,5,HOME_OWN,6,2,Daily,5,5,5,1,2,2,2,3,1,2,28,0.6666666666666666,0.0,0.3333333333333333,5,2,1,1,23,Daily,2,0.6666666666666666,<0.5,>0.5,0,>2,1
151,30001381,4,HOME_OWN,7,5,Never,5,5,5,4,3,5,5,5,1,2,6,1.0,0.0,0.0,10,1,1,2,21,Daily,2,1.0,0,1,0,2,1
154,30001396,4,HOME_RENT,6,1,Rarely,2,2,2,4,2,2,2,2,1,2,6,1.0,0.0,1.0,2,1,1,5,21,Daily,1,1.0,1,1,0,2,1
155,30001400,2,HOME_OWN,8,3,Never,5,5,5,3,3,4,4,4,1,2,3,1.0,0.0,0.5,10,2,4,6,23,Daily,2,1.0,>0.5,1,0,2,1
159,30001426,3,HOME_OWN,7,5,Never,5,5,5,4,3,4,4,4,1,2,12,1.0,0.0,1.0,2,2,2,6,24,Daily,2,1.0,1,1,0,2,1
166,30001456,2,HOME_OWN,5,3,Rarely,5,5,5,4,4,2,2,3,2,1,5,1.0,0.0,0.0,9,2,1,1,23,Daily,2,1.0,0,1,0,1,1
169,30001475,3,HOME_OWN,6,4,Never,4,5,4,5,3,5,5,5,2,1,4,1.0,0.0,0.0,9,1,1,5,21,Daily,2,1.0,0,1,0,1,1
171,30001485,3,HOME_RENT,3,NA,NA,-9,-9,-9,2,2,3,3,3,2,1,4,1.0,0.0,0.0,9,1,1,2,21,Never,2,1.0,0,1,0,1,1
172,30001487,2,HOME_OWN,5,2,Rarely,5,5,5,2,1,2,3,5,2,1,2,1.0,0.0,0.0,9,2,2,6,24,Daily,2,1.0,0,1,0,1,1
175,30001511,1,HOME_OWN,5,4,Never,5,5,5,1,3,4,4,4,1,2,2,1.0,0.0,1.0,2,2,1,3,22,Daily,2,1.0,1,1,0,2,1
192,30001625,4,HOME_RENT,1,2,Rarely,5,2,2,3,2,2,3,2,2,0,2,1.0,0.0,0.0,1,1,1,5,21,Rarely,2,0.0,0,1,0,1,0
223,30001906,1,HOME_OWN,NA,4,Never,5,5,5,2,3,2,3,5,1,2,4,1.0,0.0,1.0,2,1,1,2,21,Daily,2,1.0,1,1,0,2,1
224,30001915,7,HOME_OWN,4,5,Never,5,5,5,1,2,5,5,5,1,2,0,1.0,0.0,0.0,10,2,4,6,22,Daily,2,1.0,0,1,0,2,1
239,30002022,4,HOME_OWN,1,1,Never,5,5,4,1,1,2,5,5,2,1,0,1.0,0.0,0.0,9,2,1,1,23,Daily,2,1.0,0,1,0,1,1
263,30002274,1,HOME_OWN,4,1,Never,5,5,5,1,3,4,5,3,2,1,3,1.0,0.0,0.0,9,1,4,6,21,Daily,2,1.0,0,1,0,1,1
321,30002835,5,HOME_OWN,11,3,Rarely,5,5,5,2,3,4,4,4,1,2,16,1.0,0.0,1.0,2,1,1,5,21,Daily,2,1.0,1,1,0,2,1
327,30002883,5,HOME_OWN,8,1,Rarely,5,4,4,4,4,4,5,4,1,>2,11,1.0,0.0,1.0,10,2,1,1,23,Daily,2,1.0,1,1,0,>2,1
338,30002989,3,HOME_OWN,8,5,Never,5,5,5,2,2,5,5,5,1,2,2,1.0,0.0,0.5,10,2,4,6,24,Daily,2,1.0,>0.5,1,0,2,1
354,30003127,4,HOME_OWN,9,5,Never,4,-9,-9,5,4,4,4,4,2,1,7,1.0,0.0,0.0,9,1,1,5,21,Daily,2,1.0,0,1,0,1,1
360,30003158,6,HOME_OWN,6,5,Never,5,5,5,1,1,5,5,5,1,2,0,1.0,0.0,1.0,2,2,4,6,23,Daily,2,1.0,1,1,0,2,1
361,30003171,5,HOME_OWN,NA,1,Rarely,5,5,5,4,2,2,2,3,1,2,4,1.0,0.0,1.0,2,2,2,6,24,Daily,2,1.0,1,1,0,2,1
363,30003209,4,HOME_OWN,4,2,Rarely,5,4,2,1,1,2,2,4,1,2,6,1.0,0.0,1.0,2,1,1,5,21,Daily,2,1.0,1,1,0,2,1
383,30003393,6,HOME_RENT,3,1,Rarely,3,2,5,1,1,3,3,3,1,0,4,1.0,0.0,0.6666666666666666,2,2,1,1,23,Daily,2,0.0,>0.5,1,0,>2,0
387,30003425,1,HOME_OWN,7,1,Rarely,5,5,5,3,3,1,3,5,2,2,12,1.0,0.0,0.0,10,2,2,6,22,Daily,1,1.0,0,1,0,2,1
390,30003445,2,HOME_OWN,11,1,Rarely,3,4,4,5,5,5,5,5,2,1,4,1.0,0.0,1.0,1,2,1,2,23,Daily,2,1.0,1,1,0,1,1
394,30003489,1,HOME_OWN,5,4,Rarely,5,5,4,4,4,4,4,4,2,1,9,1.0,0.0,1.0,1,2,4,6,22,Daily,2,1.0,1,1,0,1,1
395,30003499,3,HOME_OWN,7,1,Never,5,3,4,2,1,3,3,2,1,1,4,1.0,0.0,1.0,2,1,4,6,21,Daily,2,0.5,1,1,0,2,1
405,30003594,4,HOME_OWN,8,4,Never,5,5,4,2,3,3,3,3,1,2,5,1.0,0.0,1.0,2,1,1,2,21,Daily,2,1.0,1,1,0,2,1
407,30003624,6,HOME_RENT,6,3,Never,4,1,4,3,2,4,4,2,1,2,11,1.0,0.0,1.0,2,2,1,1,23,Daily,2,1.0,1,1,0,2,1
411,30003653,3,HOME_OWN,8,1,Rarely,4,5,3,3,4,4,4,4,1,2,9,1.0,0.0,0.5,10,1,1,5,21,Daily,2,1.0,>0.5,1,0,2,1
415,30003672,4,HOME_OWN,5,5,Never,5,5,5,3,2,5,5,5,1,2,9,1.0,0.0,0.0,10,1,1,2,21,Daily,2,1.0,0,1,0,2,1
442,30003901,3,HOME_RENT,7,1,Never,5,5,5,2,3,3,5,5,1,1,9,0.5,0.0,0.5,5,2,1,3,23,Daily,2,0.5,>0.5,>0.5,0,2,1
449,30003967,6,HOME_OWN,3,2,Rarely,5,5,5,2,4,3,4,4,2,1,6,1.0,0.0,0.0,9,2,1,1,23,Rarely,2,1.0,0,1,0,1,1
452,30003993,4,HOME_OWN,5,2,Never,5,5,5,2,2,2,3,3,1,2,8,1.0,0.0,0.5,10,2,1,1,23,Daily,2,1.0,>0.5,1,0,2,1
460,30004056,2,HOME_OWN,NA,NA,Never,4,5,3,2,4,4,5,5,2,1,2,1.0,0.0,1.0,1,1,1,2,21,Daily,2,1.0,1,1,0,1,1
463,30004079,4,HOME_RENT,6,5,Never,5,5,5,4,3,5,5,5,2,1,12,1.0,0.0,0.0,9,2,4,6,24,Daily,2,1.0,0,1,0,1,1
470,30004116,3,HOME_OWN,NA,NA,NA,-9,-9,-9,2,2,5,5,5,1,2,6,1.0,0.0,1.0,2,2,4,6,24,Rarely,2,1.0,1,1,0,2,1
476,30004142,7,HOME_OWN,4,2,NA,-9,-9,-9,2,3,3,3,3,2,1,5,1.0,0.0,0.0,9,2,4,6,23,Daily,2,1.0,0,1,0,1,1
510,30004351,2,HOME_OWN,8,5,Never,5,5,5,3,2,4,4,4,1,2,4,0.6666666666666666,0.3333333333333333,0.6666666666666666,4,2,1,1,23,Daily,2,0.6666666666666666,>0.5,>0.5,<0.5,>2,1
518,30004430,3,HOME_OWN,7,4,Never,5,5,5,4,4,4,4,4,1,2,7,1.0,0.0,1.0,2,2,1,1,23,Daily,2,1.0,1,1,0,2,1
520,30004446,5,HOME_OWN,4,2,Never,5,5,5,3,2,4,4,3,1,2,4,1.0,0.0,0.0,10,1,1,5,21,Never,2,1.0,0,1,0,2,1
525,30004479,1,HOME_OWN,6,3,Rarely,5,5,4,2,2,3,3,3,1,2,4,1.0,0.0,0.5,10,2,4,6,23,Daily,2,1.0,>0.5,1,0,2,1
530,30004490,4,HOME_OWN,8,4,Rarely,5,5,5,1,2,2,2,4,1,>2,7,1.0,0.0,1.0,8,2,4,6,23,Daily,2,1.0,1,1,0,>2,1
539,30004535,1,HOME_RENT,4,2,Daily,4,2,-9,4,2,3,3,5,1,2,6,1.0,0.0,0.5,2,2,1,1,23,Daily,2,1.0,>0.5,1,0,2,0
542,30004574,1,HOME_OWN,9,4,Rarely,5,4,4,4,2,3,4,2,1,>2,0,1.0,0.0,0.3333333333333333,8,2,1,3,23,Daily,2,1.0,<0.5,1,0,>2,1
544,30004585,5,HOME_OWN,8,2,Never,5,5,5,4,2,4,4,4,2,1,3,1.0,0.0,1.0,1,1,1,1,21,Daily,2,1.0,1,1,0,1,1
549,30004634,5,HOME_OWN,2,NA,NA,-9,-9,-9,1,3,5,5,5,2,1,3,1.0,0.0,0.0,9,2,1,1,23,Daily,2,1.0,0,1,0,1,1
577,30004800,7,HOME_OWN,7,5,Never,5,5,5,2,3,4,4,4,1,2,18,1.0,0.0,1.0,7,2,1,1,23,Daily,2,1.0,1,1,0,2,1
578,30004801,5,HOME_RENT,4,2,Never,4,4,5,1,2,2,4,4,2,1,5,1.0,0.0,1.0,1,2,1,3,23,Rarely,2,1.0,1,1,0,1,1
591,30004939,1,HOME_OWN,6,NA,NA,-9,-9,-9,1,1,5,5,5,1,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,1,1,2,21,Rarely,2,0.6666666666666666,<0.5,>0.5,<0.5,>2,1
594,30005002,3,HOME_OWN,5,2,Never,5,4,5,3,3,4,5,5,2,1,6,1.0,0.0,0.0,9,2,1,1,23,Daily,2,1.0,0,1,0,1,1
601,30005067,6,HOME_OWN,6,NA,NA,-9,-9,-9,4,3,5,5,5,2,1,3,1.0,0.0,0.0,9,2,4,6,24,Daily,2,1.0,0,1,0,1,1
604,30005093,3,HOME_OWN,6,3,Never,5,5,4,4,4,4,4,4,1,2,13,1.0,0.0,0.5,2,2,1,3,22,Daily,2,1.0,>0.5,1,0,2,1
613,30005158,6,HOME_OWN,7,4,Rarely,5,5,5,2,4,3,3,5,2,1,4,1.0,0.0,1.0,1,2,2,6,23,Daily,2,1.0,1,1,0,1,1
618,30005199,7,HOME_RENT,4,3,Never,4,4,5,2,4,2,4,2,1,2,20,0.4,0.4,0.2,4,2,1,1,23,Daily,2,0.4,<0.5,<0.5,<0.5,>2,1
619,30005202,2,HOME_RENT,3,2,Rarely,5,4,4,3,3,4,4,4,2,1,5,1.0,0.0,1.0,1,2,2,6,23,Daily,2,1.0,1,1,0,1,1
626,30005268,3,HOME_RENT,1,NA,NA,-9,-9,-9,1,2,NA,NA,NA,2,1,3,1.0,0.0,0.0,9,2,4,6,23,Daily,2,1.0,0,1,0,1,1
629,30005283,7,HOME_RENT,1,NA,NA,3,1,-9,NA,NA,NA,NA,1,2,0,3,1.0,0.0,0.0,9,2,1,1,23,NA,2,0.0,0,1,0,1,0
634,30005315,3,HOME_OWN,3,1,NA,5,5,4,1,2,1,2,2,2,1,7,1.0,0.0,0.0,9,1,1,2,21,Rarely,2,1.0,0,1,0,1,1
640,30005372,2,HOME_OWN,9,3,Never,2,4,3,4,4,4,4,2,1,2,11,1.0,0.0,0.5,2,1,1,5,21,Daily,2,1.0,>0.5,1,0,2,1
641,30005383,1,HOME_OWN,6,3,Never,5,5,5,2,3,4,4,4,2,1,3,1.0,0.0,0.0,9,2,1,3,22,Daily,2,1.0,0,1,0,1,1
645,30005445,5,HOME_OWN,6,NA,NA,-9,-9,-9,2,2,2,4,5,2,1,5,1.0,0.0,0.0,9,2,4,6,23,Never,2,1.0,0,1,0,1,1
659,30005565,1,HOME_RENT,4,3,Never,5,5,5,2,2,2,3,4,2,1,0,1.0,0.0,1.0,1,2,4,6,23,Daily,2,1.0,1,1,0,1,1
677,30005713,5,HOME_OWN,4,NA,NA,-9,-9,-9,2,NA,NA,NA,NA,2,1,3,1.0,0.0,0.0,9,1,1,5,21,NA,2,1.0,0,1,0,1,1
