,HOUSEID,HHFAMINC,WALK,TAXI,BUS,TRAIN,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,WRKCOUNT,LIF_CYC,URBAN,URBANSIZE,DRVRCNTPROP,HIGH_EDUC,HOMEOWN,WRKCOUNT_ratio,HHSIZE_cleaned,FT_ratio,AVG_WORK_DIST,one_job,flexible_work,HIGH_EDUC,URBANSIZE,URBAN,LIF_CYC,HHRELATD,PTRANS,BIKE2SAVE,WALK2SAVE,TRAIN,BUS,TAXI,WALK,HOMEOWN_HOME_OWN,HOMEOWN_HOME_RENT,WRKCOUNT_ratio_0,WRKCOUNT_ratio_1,WRKCOUNT_ratio_<0.5,WRKCOUNT_ratio_>0.5,HHSIZE_cleaned_1,HHSIZE_cleaned_2,HHSIZE_cleaned_>2,FT_ratio_0,FT_ratio_0.5,FT_ratio_1,FT_ratio_<0.5,FT_ratio_>0.5,FT_ratio_non-work,AVG_WORK_DIST_10 - 15 miles,AVG_WORK_DIST_5-10 miles,AVG_WORK_DIST_<=5 miles,AVG_WORK_DIST_>15 miles,AVG_WORK_DIST_Not Sure,one_job_0,one_job_0.5,one_job_1,one_job_<0.5,one_job_>0.5,one_job_non-work,flexible_work_0,flexible_work_0.5,flexible_work_1,flexible_work_<0.5,flexible_work_non-work
0,30000012,10.0,2.0,5,4,4,2.0,3.0,5.0,2,1.0,1,1,3,1.0,5.0,HOME_OWN,1,1,1,5-10 miles,1,1,5.0,3,1,1,2,5.0,3.0,2.0,4,4,5,2.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,30000082,8.0,,5,5,5,5.0,5.0,5.0,1,0.5,4,1,3,0.5,5.0,HOME_RENT,>0.5,>2,0.5,>15 miles,0.5,<0.5,5.0,3,1,4,1,5.0,5.0,5.0,5,5,5,,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,30000130,5.0,,-9,1,1,1.0,,1.0,1,1.0,2,1,5,1.0,5.0,HOME_OWN,1,2,1,>15 miles,1,0.5,5.0,5,1,2,1,1.0,,1.0,1,1,-9,,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
3,30000380,3.0,,4,4,-9,,,,1,0.3333333333333333,6,1,1,0.6666666666666666,3.0,HOME_RENT,<0.5,>2,<0.5,<=5 miles,<0.5,<0.5,3.0,1,1,6,1,,,,-9,4,4,,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4,30000434,8.0,1.0,5,5,4,2.0,3.0,3.0,1,1.0,2,4,6,1.0,5.0,HOME_OWN,1,2,0.5,>15 miles,1,0.5,5.0,6,4,2,1,3.0,3.0,2.0,4,5,5,1.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
5,30000436,9.0,5.0,4,5,5,5.0,5.0,5.0,1,0.5,10,1,1,0.5,4.0,HOME_OWN,>0.5,2,0.5,<=5 miles,0.5,0,4.0,1,1,10,1,5.0,5.0,5.0,5,5,4,5.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
6,30000439,8.0,1.0,5,5,4,2.0,2.0,3.0,1,0.5,8,4,6,1.0,5.0,HOME_OWN,>0.5,>2,<0.5,10 - 15 miles,0.5,<0.5,5.0,6,4,8,1,3.0,2.0,2.0,4,5,5,1.0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,30000473,3.0,5.0,5,5,5,5.0,5.0,5.0,2,1.0,9,1,1,1.0,3.0,HOME_RENT,1,1,0,<=5 miles,1,0,3.0,1,1,9,2,5.0,5.0,5.0,5,5,5,5.0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
8,30000496,8.0,4.0,5,5,5,4.0,4.0,4.0,1,0.5,10,1,5,0.5,5.0,HOME_OWN,>0.5,2,0.5,Not Sure,0.5,0,5.0,5,1,10,1,4.0,4.0,4.0,5,5,5,4.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
9,30000503,9.0,4.0,5,5,5,4.0,4.0,4.0,1,0.5,10,1,2,1.0,3.0,HOME_OWN,>0.5,2,0.5,>15 miles,0.5,0.5,3.0,2,1,10,1,4.0,4.0,4.0,5,5,5,4.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
10,30000722,3.0,,5,5,5,5.0,5.0,5.0,2,1.0,1,4,6,1.0,3.0,HOME_OWN,1,1,0,<=5 miles,1,0,3.0,6,4,1,2,5.0,5.0,5.0,5,5,5,,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
11,30000817,4.0,3.0,3,4,3,4.0,4.0,1.0,2,1.0,1,4,6,1.0,4.0,HOME_RENT,1,1,1,Not Sure,1,0,4.0,6,4,1,2,1.0,4.0,4.0,3,4,3,3.0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
12,30000835,6.0,4.0,5,5,5,5.0,5.0,5.0,1,0.5,2,1,2,1.0,5.0,HOME_OWN,>0.5,2,0.5,5-10 miles,0.5,0,5.0,2,1,2,1,5.0,5.0,5.0,5,5,5,4.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
13,30000854,9.0,4.0,5,5,4,5.0,5.0,5.0,1,0.5,10,1,5,1.0,3.0,HOME_OWN,>0.5,2,0.5,5-10 miles,0.5,0.5,3.0,5,1,10,1,5.0,5.0,5.0,4,5,5,4.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
14,30000990,11.0,1.0,4,1,4,2.0,3.0,1.0,1,0.25,6,1,5,0.5,5.0,HOME_OWN,<0.5,>2,<0.5,>15 miles,<0.5,0,5.0,5,1,6,1,1.0,3.0,2.0,4,1,4,1.0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
15,30001011,,2.0,4,3,5,4.0,5.0,4.0,1,0.0,10,1,5,0.5,3.0,HOME_OWN,0,2,non-work,Not Sure,non-work,non-work,3.0,5,1,10,1,4.0,5.0,4.0,5,3,4,2.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
16,30001039,4.0,,-9,-9,-9,3.0,5.0,3.0,2,0.0,9,1,5,1.0,5.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,5.0,5,1,9,2,3.0,5.0,3.0,-9,-9,-9,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
17,30001053,2.0,1.0,4,1,5,1.0,4.0,1.0,1,0.0,3,1,1,0.0,3.0,HOME_RENT,0,>2,non-work,Not Sure,non-work,non-work,3.0,1,1,3,1,1.0,4.0,1.0,5,1,4,1.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
18,30001066,10.0,3.0,5,5,5,4.0,4.0,5.0,1,0.5,6,1,3,0.5,4.0,HOME_OWN,>0.5,>2,0.5,>15 miles,0.5,0,4.0,3,1,6,1,5.0,4.0,4.0,5,5,5,3.0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
19,30001215,7.0,2.0,5,5,5,1.0,1.0,3.0,1,1.0,2,1,1,1.0,4.0,HOME_OWN,1,2,1,<=5 miles,1,0.5,4.0,1,1,2,1,3.0,1.0,1.0,5,5,5,2.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
20,30001349,6.0,2.0,5,5,5,2.0,2.0,3.0,1,0.3333333333333333,5,1,1,0.6666666666666666,5.0,HOME_OWN,<0.5,>2,non-work,Not Sure,non-work,non-work,5.0,1,1,5,1,3.0,2.0,2.0,5,5,5,2.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
21,30001381,7.0,5.0,5,5,5,5.0,5.0,5.0,1,0.0,10,1,2,1.0,5.0,HOME_OWN,0,2,non-work,Not Sure,non-work,non-work,5.0,2,1,10,1,5.0,5.0,5.0,5,5,5,5.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
22,30001396,6.0,1.0,2,2,2,2.0,2.0,2.0,1,1.0,2,1,5,1.0,5.0,HOME_RENT,1,2,1,>15 miles,0.5,0.5,5.0,5,1,2,1,2.0,2.0,2.0,2,2,2,1.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
23,30001400,8.0,3.0,5,5,5,4.0,4.0,4.0,1,0.5,10,4,6,1.0,3.0,HOME_OWN,>0.5,2,0,<=5 miles,0.5,0,3.0,6,4,10,1,4.0,4.0,4.0,5,5,5,3.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
24,30001426,7.0,5.0,5,5,5,4.0,4.0,4.0,1,1.0,2,2,6,1.0,4.0,HOME_OWN,1,2,0.5,<=5 miles,1,0,4.0,6,2,2,1,4.0,4.0,4.0,5,5,5,5.0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
25,30001456,5.0,3.0,5,5,5,2.0,2.0,3.0,2,0.0,9,1,1,1.0,5.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,5.0,1,1,9,2,3.0,2.0,2.0,5,5,5,3.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
26,30001475,6.0,4.0,4,5,4,5.0,5.0,5.0,2,0.0,9,1,5,1.0,4.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,4.0,5,1,9,2,5.0,5.0,5.0,4,5,4,4.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
27,30001485,3.0,,-9,-9,-9,3.0,3.0,3.0,2,0.0,9,1,2,1.0,2.0,HOME_RENT,0,1,non-work,Not Sure,non-work,non-work,2.0,2,1,9,2,3.0,3.0,3.0,-9,-9,-9,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
28,30001487,5.0,2.0,5,5,5,2.0,3.0,5.0,2,0.0,9,2,6,1.0,3.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,3.0,6,2,9,2,5.0,3.0,2.0,5,5,5,2.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
