,HOUSEID,TRAVDAY,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,SMPLSRCE,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
0,30000012,5,HOME_OWN,10,2,Never,5,4,4,2,1,2,3,5,2,1,9,1.0,0.0,1.0,1,2,1,3,23,Daily,2,1.0,1,1,0,1,1,45.0,40 - 50,5.0,1,5-10 miles,20 - 30,2.0,9.0,>5,1,1
1,30000082,3,HOME_RENT,8,NA,Never,5,5,5,3,3,5,5,5,1,2,12,0.5,0.5,0.5,4,2,1,3,23,Daily,2,0.5,>0.5,>0.5,>0.5,>2,1,38.5,30 - 40,5.0,0.5,>15 miles,20 - 30,2.0,6.0,>5,0.5,<0.5
2,30000130,1,HOME_OWN,5,NA,NA,-9,1,1,1,1,1,NA,1,1,2,4,1.0,0.0,1.0,2,1,1,5,21,Daily,1,1.0,1,1,0,2,1,45.0,40 - 50,5.0,1,>15 miles,>30,3.0,2.0,<=2,1,0.5
3,30000380,2,HOME_RENT,3,NA,NA,4,4,-9,1,NA,NA,NA,NA,1,2,18,0.6666666666666666,0.0,0.3333333333333333,6,2,1,1,23,Daily,2,0.6666666666666666,<0.5,>0.5,0,>2,1,37.333333333333336,30 - 40,3.0,<0.5,<=5 miles,<=10,4.0,6.0,>5,<0.5,<0.5
4,30000434,7,HOME_OWN,8,1,Rarely,5,5,4,NA,2,2,3,3,1,2,6,1.0,0.0,1.0,2,2,4,6,23,Daily,2,1.0,1,1,0,2,1,67.5,>60,5.0,0.5,>15 miles,20 - 30,2.0,3.0,2 - 3,1,0.5
5,30000436,5,HOME_OWN,9,5,Never,4,5,5,3,3,5,5,5,1,1,3,1.0,0.0,0.5,10,2,1,1,23,Daily,2,0.5,>0.5,1,0,2,1,75.5,>60,4.0,0.5,<=5 miles,<=10,4.0,1.5,<=2,0.5,0
6,30000439,7,HOME_OWN,8,1,Daily,5,5,4,1,1,2,2,3,1,>2,6,1.0,0.0,0.5,8,1,4,6,21,Daily,2,1.0,>0.5,1,0,>2,1,37.75,30 - 40,5.0,<0.5,10 - 15 miles,20 - 30,4.0,1.5,<=2,0.5,<0.5
7,30000473,7,HOME_RENT,3,5,Never,5,5,5,1,3,5,5,5,2,1,8,1.0,0.0,1.0,9,2,1,1,23,Daily,2,1.0,1,1,0,1,1,66.0,>60,3.0,0,<=5 miles,<=10,4.0,8.0,>5,1,0
8,30000496,7,HOME_OWN,8,4,Never,5,5,5,4,4,4,4,4,1,1,6,1.0,0.0,0.5,10,1,1,5,21,Rarely,2,0.5,>0.5,1,0,2,1,75.0,>60,5.0,0.5,Not Sure,non-work,4.0,3.0,2 - 3,0.5,0
9,30000503,3,HOME_OWN,9,4,Rarely,5,5,5,3,4,4,4,4,1,2,4,1.0,0.0,0.5,10,1,1,2,21,Daily,2,1.0,>0.5,1,0,2,1,59.0,50 - 60,3.0,0.5,>15 miles,20 - 30,2.0,2.0,<=2,0.5,0.5
