,HOUSEID,AVG_AGE,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME
0,30000012,40 - 50,5,1,5-10 miles,20 - 30
1,30000082,30 - 40,5,0.5,>15 miles,20 - 30
2,30000130,40 - 50,5,1,>15 miles,>30
3,30000380,30 - 40,3,<0.5,<=5 miles,<=10
4,30000434,>60,5,0.5,>15 miles,20 - 30
5,30000436,>60,4,0.5,<=5 miles,<=10
6,30000439,30 - 40,5,<0.5,10 - 15 miles,20 - 30
7,30000473,>60,3,0,<=5 miles,<=10
8,30000496,>60,5,0.5,Not Sure,non-work
9,30000503,50 - 60,3,0.5,>15 miles,20 - 30
10,30000722,>60,3,0,<=5 miles,>30
11,30000817,<=30,4,1,Not Sure,non-work
12,30000835,50 - 60,5,0.5,5-10 miles,10 - 20
13,30000854,50 - 60,3,0.5,5-10 miles,<=10
14,30000990,<=30,5,<0.5,>15 miles,>30
15,30001011,>60,3,non-work,Not Sure,non-work
16,30001039,50 - 60,5,non-work,Not Sure,non-work
17,30001053,<=30,3,non-work,Not Sure,non-work
18,30001066,<=30,4,0.5,>15 miles,20 - 30
19,30001215,50 - 60,4,1,<=5 miles,10 - 20
20,30001349,<=30,5,non-work,Not Sure,non-work
21,30001381,>60,5,non-work,Not Sure,non-work
22,30001396,<=30,5,1,>15 miles,>30
23,30001400,>60,3,0,<=5 miles,<=10
24,30001426,50 - 60,4,0.5,<=5 miles,<=10
25,30001456,>60,5,non-work,Not Sure,non-work
26,30001475,>60,4,non-work,Not Sure,non-work
27,30001485,>60,2,non-work,Not Sure,non-work
28,30001487,>60,3,non-work,Not Sure,non-work
29,30001511,50 - 60,2,0.5,<=5 miles,<=10
30,30001625,50 - 60,1,non-work,Not Sure,non-work
31,30001906,40 - 50,5,1,>15 miles,>30
32,30001915,50 - 60,2,non-work,Not Sure,non-work
33,30002022,>60,3,non-work,Not Sure,non-work
34,30002274,>60,4,non-work,Not Sure,non-work
35,30002835,50 - 60,4,1,>15 miles,10 - 20
36,30002883,50 - 60,5,>0.5,<=5 miles,10 - 20
37,30002989,>60,4,0,<=5 miles,<=10
38,30003127,>60,5,non-work,Not Sure,non-work
39,30003158,40 - 50,2,1,10 - 15 miles,10 - 20
40,30003171,50 - 60,5,1,<=5 miles,<=10
41,30003209,<=30,5,1,10 - 15 miles,>30
42,30003393,40 - 50,3,<0.5,<=5 miles,20 - 30
43,30003425,>60,5,non-work,Not Sure,non-work
44,30003445,>60,5,1,10 - 15 miles,20 - 30
45,30003489,40 - 50,3,1,>15 miles,>30
46,30003499,>60,3,0,>15 miles,>30
47,30003594,50 - 60,3,1,>15 miles,>30
48,30003624,<=30,5,1,<=5 miles,20 - 30
49,30003653,>60,4,0.5,10 - 15 miles,>30
50,30003672,>60,4,non-work,Not Sure,non-work
51,30003901,30 - 40,5,0.5,5-10 miles,20 - 30
52,30003967,>60,5,non-work,Not Sure,non-work
53,30003993,>60,2,0.5,5-10 miles,10 - 20
54,30004056,50 - 60,5,1,>15 miles,>30
55,30004079,>60,4,non-work,Not Sure,non-work
56,30004116,50 - 60,3,1,>15 miles,20 - 30
57,30004142,>60,3,non-work,Not Sure,non-work
58,30004351,30 - 40,5,>0.5,>15 miles,20 - 30
59,30004430,30 - 40,4,1,<=5 miles,10 - 20
60,30004446,>60,2,non-work,Not Sure,non-work
61,30004479,50 - 60,4,0.5,5-10 miles,20 - 30
62,30004490,30 - 40,2,1,10 - 15 miles,20 - 30
63,30004535,30 - 40,5,0.5,Not Sure,non-work
64,30004574,30 - 40,4,<0.5,Not Sure,10 - 20
65,30004585,40 - 50,2,0,>15 miles,>30
66,30004634,>60,3,non-work,Not Sure,non-work
67,30004800,30 - 40,4,0.5,>15 miles,10 - 20
68,30004801,40 - 50,2,0,10 - 15 miles,10 - 20
69,30004939,>60,3,<0.5,5-10 miles,10 - 20
70,30005002,>60,3,non-work,Not Sure,non-work
71,30005067,>60,3,non-work,Not Sure,non-work
72,30005093,>60,3,0.5,10 - 15 miles,20 - 30
